freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.119e+01,4.257e+01,3.638e+02,4.175e+02
1.5,2.152e+01,3.876e+01,2.277e+02,2.880e+02
3.0,2.048e+01,2.137e+01,4.470e+01,8.655e+01
4.5,2.021e+01,2.204e+01,3.066e+02,3.488e+02
6.0,2.118e+01,2.366e+01,1.150e+03,1.195e+03
7.6,2.256e+01,2.302e+01,1.914e+03,1.960e+03
9.1,2.344e+01,2.359e+01,2.766e+03,2.813e+03
10.6,2.232e+01,2.838e+01,3.910e+03,3.960e+03
12.1,2.177e+01,2.986e+01,5.433e+03,5.484e+03
13.6,2.288e+01,3.439e+01,7.444e+03,7.501e+03
15.1,2.663e+01,3.894e+01,9.743e+03,9.808e+03
16.6,3.800e+01,4.105e+01,1.174e+04,1.182e+04
18.1,5.248e+01,4.283e+01,1.350e+04,1.360e+04
19.6,4.792e+01,3.693e+01,1.514e+04,1.522e+04
21.2,3.731e+01,3.498e+01,1.886e+04,1.893e+04
22.7,3.360e+01,4.240e+01,2.386e+04,2.394e+04
24.2,6.111e+01,4.614e+01,2.993e+04,3.004e+04
25.7,8.807e+01,4.563e+01,3.700e+04,3.713e+04
27.2,9.689e+01,7.571e+01,4.582e+04,4.600e+04
28.7,1.053e+02,2.469e+02,5.722e+04,5.758e+04
30.2,1.026e+02,5.147e+02,6.933e+04,6.995e+04
31.7,1.350e+02,8.738e+02,8.436e+04,8.537e+04
33.2,2.265e+02,1.796e+03,1.055e+05,1.075e+05
34.8,2.700e+02,2.550e+03,1.135e+05,1.163e+05
36.3,2.581e+02,2.903e+03,1.197e+05,1.229e+05
37.8,2.647e+02,2.985e+03,1.302e+05,1.335e+05
39.3,2.696e+02,2.936e+03,1.539e+05,1.571e+05
40.8,2.592e+02,2.792e+03,1.957e+05,1.987e+05
42.3,2.557e+02,2.980e+03,2.803e+05,2.835e+05
43.8,4.554e+02,4.798e+03,4.255e+05,4.308e+05
45.3,1.380e+03,8.538e+03,5.921e+05,6.020e+05
46.8,2.875e+03,9.496e+03,6.748e+05,6.871e+05
48.4,3.920e+03,7.391e+03,6.144e+05,6.257e+05
49.9,4.230e+03,4.851e+03,5.088e+05,5.179e+05
51.4,4.914e+03,3.118e+03,4.270e+05,4.351e+05
52.9,6.526e+03,1.785e+03,3.577e+05,3.660e+05
54.4,9.037e+03,9.000e+02,3.041e+05,3.140e+05
55.9,1.061e+04,9.535e+02,2.771e+05,2.887e+05
57.4,1.120e+04,2.409e+03,2.845e+05,2.981e+05
58.9,1.153e+04,4.824e+03,2.717e+05,2.880e+05
60.5,1.240e+04,7.921e+03,2.538e+05,2.741e+05
62.0,1.434e+04,1.313e+04,2.663e+05,2.938e+05
63.5,1.465e+04,1.940e+04,2.709e+05,3.049e+05
65.0,1.436e+04,2.324e+04,2.619e+05,2.995e+05
66.5,1.393e+04,2.455e+04,2.449e+05,2.833e+05
68.0,1.188e+04,2.726e+04,2.335e+05,2.726e+05
69.5,8.780e+03,3.045e+04,2.217e+05,2.610e+05
71.0,6.205e+03,3.212e+04,2.037e+05,2.420e+05
72.5,3.794e+03,3.446e+04,1.892e+05,2.275e+05
74.1,1.908e+03,3.907e+04,1.847e+05,2.257e+05
75.6,9.258e+02,4.460e+04,1.825e+05,2.280e+05
77.1,4.392e+02,4.943e+04,1.815e+05,2.314e+05
78.6,2.862e+02,5.384e+04,1.740e+05,2.281e+05
80.1,2.305e+02,5.686e+04,1.556e+05,2.127e+05
81.6,3.023e+02,5.098e+04,1.310e+05,1.823e+05
83.1,6.086e+02,3.780e+04,1.088e+05,1.472e+05
84.6,1.024e+03,2.900e+04,9.552e+04,1.255e+05
86.1,2.001e+03,2.499e+04,9.178e+04,1.188e+05
87.7,3.085e+03,2.298e+04,8.972e+04,1.158e+05
89.2,2.332e+03,2.787e+04,9.739e+04,1.276e+05
90.7,2.661e+03,3.984e+04,1.096e+05,1.521e+05
92.2,7.090e+03,5.949e+04,1.291e+05,1.957e+05
93.7,9.765e+03,7.970e+04,1.373e+05,2.268e+05
95.2,1.226e+04,9.761e+04,1.386e+05,2.485e+05
96.7,1.622e+04,1.253e+05,1.497e+05,2.912e+05
98.2,1.786e+04,1.474e+05,1.536e+05,3.189e+05
99.7,1.831e+04,1.771e+05,1.571e+05,3.525e+05
101.3,1.905e+04,2.081e+05,1.573e+05,3.845e+05
102.8,1.944e+04,2.174e+05,1.457e+05,3.826e+05
104.3,1.961e+04,2.213e+05,1.391e+05,3.800e+05
105.8,1.963e+04,2.245e+05,1.360e+05,3.802e+05
107.3,1.928e+04,2.260e+05,1.329e+05,3.782e+05
108.8,1.878e+04,2.227e+05,1.263e+05,3.678e+05
110.3,1.840e+04,2.190e+05,1.178e+05,3.552e+05
111.8,1.829e+04,2.129e+05,1.052e+05,3.364e+05
113.3,1.768e+04,1.967e+05,8.834e+04,3.027e+05
114.9,1.548e+04,1.803e+05,7.454e+04,2.703e+05
116.4,1.196e+04,1.700e+05,6.320e+04,2.452e+05
117.9,1.529e+04,1.541e+05,5.323e+04,2.226e+05
119.4,2.285e+04,1.311e+05,4.520e+04,1.992e+05
120.9,2.720e+04,1.136e+05,3.936e+04,1.802e+05
122.4,2.925e+04,1.010e+05,3.662e+04,1.668e+05
123.9,3.025e+04,9.176e+04,3.272e+04,1.547e+05
125.4,3.523e+04,7.930e+04,3.026e+04,1.448e+05
126.9,4.082e+04,6.750e+04,2.881e+04,1.371e+05
128.5,4.525e+04,5.594e+04,2.648e+04,1.277e+05
130.0,4.723e+04,4.243e+04,2.383e+04,1.135e+05
131.5,5.154e+04,3.414e+04,2.382e+04,1.095e+05
133.0,3.400e+04,1.890e+04,1.537e+04,6.827e+04
134.5,7.076e+03,3.395e+03,3.163e+03,1.363e+04
136.0,4.640e+03,1.919e+03,1.964e+03,8.524e+03
137.5,5.122e+03,2.307e+03,2.164e+03,9.593e+03
139.0,4.588e+03,2.623e+03,2.173e+03,9.384e+03
140.5,4.346e+03,2.453e+03,2.241e+03,9.040e+03
142.1,4.349e+03,2.044e+03,2.294e+03,8.687e+03
143.6,3.787e+03,1.665e+03,2.220e+03,7.672e+03
145.1,3.324e+03,1.323e+03,2.142e+03,6.789e+03
146.6,3.083e+03,1.040e+03,2.144e+03,6.267e+03
148.1,3.213e+03,8.470e+02,2.052e+03,6.112e+03
149.6,3.227e+03,5.273e+02,1.889e+03,5.643e+03
151.1,3.560e+03,2.847e+02,1.939e+03,5.784e+03
152.6,4.332e+03,2.363e+02,1.832e+03,6.400e+03
