freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.753e+01,5.233e+01,2.016e+02,2.915e+02
1.5,3.792e+01,5.080e+01,1.485e+02,2.372e+02
3.0,2.267e+01,3.406e+01,5.799e+01,1.147e+02
4.6,2.312e+01,3.302e+01,3.197e+02,3.758e+02
6.1,2.526e+01,3.043e+01,1.124e+03,1.180e+03
7.6,2.367e+01,3.058e+01,1.862e+03,1.916e+03
9.1,2.162e+01,3.124e+01,2.754e+03,2.807e+03
10.6,2.822e+01,3.155e+01,3.806e+03,3.866e+03
12.2,3.549e+01,3.322e+01,4.971e+03,5.040e+03
13.7,4.015e+01,3.087e+01,6.728e+03,6.799e+03
15.2,5.027e+01,3.342e+01,8.985e+03,9.068e+03
16.7,9.597e+01,3.132e+01,1.209e+04,1.221e+04
18.2,1.563e+02,3.020e+01,1.480e+04,1.499e+04
19.8,1.057e+02,3.627e+01,1.773e+04,1.788e+04
21.3,6.723e+01,5.255e+01,2.485e+04,2.497e+04
22.8,2.110e+02,5.302e+01,2.973e+04,2.999e+04
24.3,7.511e+02,4.481e+01,2.596e+04,2.676e+04
25.8,1.096e+03,6.624e+01,2.345e+04,2.461e+04
27.4,8.954e+02,9.434e+01,2.484e+04,2.583e+04
28.9,6.187e+02,1.280e+02,2.888e+04,2.963e+04
30.4,2.628e+02,1.729e+02,3.176e+04,3.219e+04
31.9,7.752e+01,2.848e+02,3.592e+04,3.628e+04
33.4,3.805e+01,7.766e+02,4.499e+04,4.581e+04
35.0,3.822e+01,2.104e+03,5.707e+04,5.921e+04
36.5,5.179e+01,3.666e+03,6.278e+04,6.650e+04
38.0,6.802e+01,4.280e+03,6.285e+04,6.719e+04
39.5,8.141e+01,4.233e+03,6.731e+04,7.162e+04
41.0,9.004e+01,3.929e+03,7.583e+04,7.985e+04
42.6,9.452e+01,3.665e+03,9.428e+04,9.804e+04
44.1,9.197e+01,3.380e+03,1.197e+05,1.232e+05
45.6,1.022e+02,3.136e+03,1.588e+05,1.620e+05
47.1,1.193e+02,2.942e+03,2.362e+05,2.393e+05
48.6,1.323e+02,2.217e+03,3.488e+05,3.512e+05
50.2,2.676e+02,1.171e+03,5.262e+05,5.276e+05
51.7,7.122e+02,8.982e+02,6.683e+05,6.699e+05
53.2,8.726e+02,1.736e+03,6.108e+05,6.134e+05
54.7,5.646e+02,1.925e+03,4.694e+05,4.719e+05
56.2,3.237e+02,1.332e+03,3.179e+05,3.195e+05
57.7,3.572e+02,7.779e+02,2.148e+05,2.159e+05
59.3,4.755e+02,3.869e+02,1.461e+05,1.470e+05
60.8,5.085e+02,1.635e+02,9.548e+04,9.615e+04
62.3,4.508e+02,1.118e+02,5.796e+04,5.853e+04
63.8,4.558e+02,1.828e+02,3.693e+04,3.757e+04
65.3,5.567e+02,3.943e+02,2.529e+04,2.624e+04
66.9,8.504e+02,8.375e+02,1.861e+04,2.030e+04
68.4,1.706e+03,1.372e+03,1.957e+04,2.265e+04
69.9,2.829e+03,1.804e+03,2.835e+04,3.298e+04
71.4,2.544e+03,2.049e+03,2.282e+04,2.742e+04
72.9,3.307e+03,2.948e+03,2.013e+04,2.638e+04
74.5,8.775e+03,6.459e+03,2.819e+04,4.342e+04
76.0,2.526e+04,2.017e+04,5.975e+04,1.052e+05
77.5,7.363e+04,6.364e+04,1.558e+05,2.931e+05
79.0,1.211e+05,1.203e+05,2.438e+05,4.852e+05
80.5,8.924e+04,1.566e+05,2.516e+05,4.974e+05
82.1,5.352e+04,1.659e+05,2.100e+05,4.295e+05
83.6,4.147e+04,1.539e+05,1.578e+05,3.532e+05
85.1,3.320e+04,1.324e+05,1.156e+05,2.812e+05
86.6,2.889e+04,1.275e+05,9.465e+04,2.511e+05
88.1,2.435e+04,1.337e+05,8.016e+04,2.382e+05
89.7,2.251e+04,1.507e+05,6.935e+04,2.425e+05
91.2,2.326e+04,1.723e+05,6.226e+04,2.579e+05
92.7,2.224e+04,1.925e+05,6.719e+04,2.819e+05
94.2,1.651e+04,1.933e+05,7.934e+04,2.891e+05
95.7,9.300e+03,1.687e+05,9.154e+04,2.695e+05
97.3,5.969e+03,1.341e+05,1.112e+05,2.513e+05
98.8,8.788e+03,1.373e+05,1.352e+05,2.813e+05
100.3,1.443e+04,1.695e+05,1.441e+05,3.280e+05
101.8,2.090e+04,2.080e+05,1.410e+05,3.699e+05
103.3,2.875e+04,2.585e+05,1.262e+05,4.134e+05
104.9,3.802e+04,2.982e+05,1.146e+05,4.508e+05
106.4,4.794e+04,3.171e+05,1.052e+05,4.702e+05
107.9,6.228e+04,3.095e+05,1.001e+05,4.719e+05
109.4,8.775e+04,2.758e+05,9.835e+04,4.619e+05
110.9,1.320e+05,2.257e+05,1.014e+05,4.591e+05
112.5,1.853e+05,1.741e+05,1.067e+05,4.660e+05
114.0,2.400e+05,1.567e+05,1.057e+05,5.024e+05
115.5,2.963e+05,1.639e+05,9.683e+04,5.570e+05
117.0,3.373e+05,1.750e+05,8.581e+04,5.981e+05
118.5,3.772e+05,1.769e+05,7.402e+04,6.282e+05
120.1,4.171e+05,1.720e+05,6.364e+04,6.527e+05
121.6,4.397e+05,1.648e+05,5.631e+04,6.608e+05
123.1,4.326e+05,1.633e+05,5.690e+04,6.529e+05
124.6,3.796e+05,1.663e+05,6.984e+04,6.157e+05
126.1,2.638e+05,1.749e+05,8.946e+04,5.282e+05
127.7,1.683e+05,1.868e+05,9.351e+04,4.485e+05
129.2,1.140e+05,1.713e+05,8.436e+04,3.696e+05
130.7,7.887e+04,1.512e+05,8.084e+04,3.109e+05
132.2,5.193e+04,1.207e+05,7.060e+04,2.432e+05
133.7,1.387e+04,3.560e+04,2.150e+04,7.097e+04
135.3,1.432e+03,3.829e+03,2.121e+03,7.382e+03
136.8,1.216e+03,2.850e+03,1.682e+03,5.748e+03
138.3,1.269e+03,2.573e+03,1.667e+03,5.509e+03
139.8,1.305e+03,2.360e+03,1.695e+03,5.360e+03
141.3,1.166e+03,2.201e+03,1.762e+03,5.129e+03
142.9,1.011e+03,1.928e+03,1.773e+03,4.712e+03
144.4,8.864e+02,1.730e+03,1.776e+03,4.392e+03
145.9,1.047e+03,1.745e+03,1.884e+03,4.676e+03
147.4,1.452e+03,1.624e+03,2.034e+03,5.109e+03
148.9,2.484e+03,1.747e+03,2.164e+03,6.395e+03
150.5,5.180e+03,2.735e+03,2.497e+03,1.041e+04
152.0,1.556e+04,3.963e+03,3.558e+03,2.308e+04
153.5,4.361e+04,4.624e+03,6.576e+03,5.481e+04
155.0,7.439e+04,5.169e+03,1.078e+04,9.034e+04
156.5,7.603e+04,5.880e+03,1.192e+04,9.382e+04
158.1,7.839e+04,6.733e+03,1.309e+04,9.822e+04
159.6,9.347e+04,7.722e+03,1.610e+04,1.173e+05
161.1,9.586e+04,6.797e+03,1.763e+04,1.203e+05
162.6,7.394e+04,5.636e+03,1.508e+04,9.466e+04
164.1,5.629e+04,6.134e+03,1.196e+04,7.438e+04
165.7,4.401e+04,7.246e+03,9.571e+03,6.083e+04
167.2,2.912e+04,7.538e+03,6.917e+03,4.357e+04
168.7,2.157e+04,8.424e+03,5.603e+03,3.560e+04
170.2,1.607e+04,8.936e+03,4.745e+03,2.975e+04
171.7,1.131e+04,8.280e+03,3.979e+03,2.357e+04
173.2,6.571e+03,6.463e+03,2.914e+03,1.595e+04
174.8,3.281e+03,4.483e+03,2.154e+03,9.918e+03
176.3,2.586e+03,3.214e+03,1.931e+03,7.730e+03
177.8,4.181e+03,4.287e+03,1.865e+03,1.033e+04
179.3,4.062e+03,5.538e+03,1.545e+03,1.114e+04
180.8,2.791e+03,5.298e+03,1.223e+03,9.311e+03
182.4,2.120e+03,4.826e+03,1.242e+03,8.189e+03
183.9,1.854e+03,4.561e+03,1.454e+03,7.870e+03
185.4,1.742e+03,5.770e+03,1.846e+03,9.358e+03
186.9,1.686e+03,8.447e+03,2.437e+03,1.257e+04
188.4,1.391e+03,9.135e+03,2.481e+03,1.301e+04
190.0,1.300e+03,8.975e+03,2.483e+03,1.276e+04
191.5,1.769e+03,8.527e+03,2.772e+03,1.307e+04
193.0,2.893e+03,8.288e+03,3.095e+03,1.428e+04
194.5,4.836e+03,8.946e+03,3.250e+03,1.703e+04
196.0,7.671e+03,1.026e+04,3.509e+03,2.143e+04
197.6,6.525e+03,9.693e+03,4.161e+03,2.038e+04
199.1,3.820e+03,8.045e+03,4.188e+03,1.605e+04
