freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.020e+01,9.774e+01,3.103e+02,4.283e+02
1.5,2.700e+01,7.047e+01,1.998e+02,2.972e+02
3.0,2.150e+01,2.159e+01,3.782e+01,8.091e+01
4.5,2.001e+01,2.217e+01,3.039e+02,3.461e+02
6.0,1.958e+01,2.304e+01,1.179e+03,1.222e+03
7.5,2.114e+01,2.276e+01,2.000e+03,2.044e+03
9.0,2.373e+01,2.312e+01,2.932e+03,2.979e+03
10.5,2.199e+01,2.300e+01,4.080e+03,4.125e+03
12.1,2.204e+01,2.178e+01,5.525e+03,5.569e+03
13.6,2.091e+01,2.306e+01,7.354e+03,7.398e+03
15.1,2.130e+01,2.563e+01,9.600e+03,9.647e+03
16.6,2.468e+01,2.576e+01,1.188e+04,1.193e+04
18.1,2.712e+01,2.959e+01,1.392e+04,1.398e+04
19.6,2.296e+01,3.664e+01,1.557e+04,1.563e+04
21.1,2.203e+01,5.701e+01,1.773e+04,1.781e+04
22.6,2.445e+01,9.358e+01,2.186e+04,2.198e+04
24.1,4.185e+01,1.471e+02,2.767e+04,2.786e+04
25.6,7.967e+01,2.048e+02,3.448e+04,3.476e+04
27.1,1.154e+02,2.925e+02,4.263e+04,4.304e+04
28.6,1.329e+02,6.856e+02,5.414e+04,5.496e+04
30.1,1.480e+02,1.327e+03,6.617e+04,6.764e+04
31.6,1.933e+02,1.782e+03,7.762e+04,7.960e+04
33.2,3.107e+02,3.190e+03,1.030e+05,1.065e+05
34.7,3.594e+02,4.300e+03,1.226e+05,1.272e+05
36.2,2.997e+02,4.691e+03,1.418e+05,1.468e+05
37.7,2.411e+02,5.168e+03,1.682e+05,1.736e+05
39.2,2.066e+02,6.014e+03,2.091e+05,2.153e+05
40.7,1.741e+02,8.216e+03,2.797e+05,2.881e+05
42.2,2.403e+02,1.482e+04,4.030e+05,4.181e+05
43.7,7.130e+02,2.178e+04,4.933e+05,5.158e+05
45.2,1.344e+03,2.204e+04,4.744e+05,4.978e+05
46.7,1.698e+03,1.819e+04,3.872e+05,4.071e+05
48.2,1.882e+03,1.338e+04,2.827e+05,2.979e+05
49.7,2.159e+03,9.025e+03,1.983e+05,2.095e+05
51.2,2.707e+03,6.058e+03,1.508e+05,1.596e+05
52.7,3.685e+03,4.030e+03,1.226e+05,1.304e+05
