freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.285e+02,2.957e+01,1.193e+01,1.700e+02
1.5,9.392e+01,7.527e+01,4.328e+01,2.125e+02
3.0,3.888e+01,7.178e+01,4.642e+01,1.571e+02
4.6,2.562e+02,7.266e+01,4.827e+01,3.772e+02
6.1,9.372e+02,7.427e+01,4.785e+01,1.059e+03
7.6,1.487e+03,7.797e+01,5.104e+01,1.616e+03
9.1,2.014e+03,6.698e+01,5.180e+01,2.132e+03
10.6,2.625e+03,6.584e+01,4.974e+01,2.741e+03
12.1,3.230e+03,7.442e+01,5.077e+01,3.355e+03
13.7,3.836e+03,7.192e+01,5.436e+01,3.963e+03
15.2,4.544e+03,7.021e+01,6.161e+01,4.676e+03
16.7,5.377e+03,8.644e+01,7.027e+01,5.534e+03
18.2,6.071e+03,9.302e+01,7.946e+01,6.243e+03
19.7,6.570e+03,8.919e+01,8.035e+01,6.740e+03
21.2,6.744e+03,1.017e+02,8.292e+01,6.928e+03
22.8,6.468e+03,1.026e+02,9.897e+01,6.669e+03
24.3,6.646e+03,1.017e+02,1.097e+02,6.858e+03
25.8,7.152e+03,9.174e+01,1.479e+02,7.391e+03
27.3,6.211e+03,7.843e+01,1.898e+02,6.479e+03
28.8,5.278e+03,7.667e+01,2.187e+02,5.574e+03
30.3,5.398e+03,7.520e+01,2.176e+02,5.691e+03
31.9,6.109e+03,8.717e+01,2.215e+02,6.418e+03
33.4,6.860e+03,8.779e+01,2.646e+02,7.212e+03
34.9,7.750e+03,9.424e+01,3.975e+02,8.242e+03
36.4,9.023e+03,1.285e+02,5.977e+02,9.749e+03
37.9,1.012e+04,2.252e+02,7.550e+02,1.110e+04
39.4,1.125e+04,3.258e+02,6.440e+02,1.222e+04
41.0,1.213e+04,3.489e+02,3.952e+02,1.287e+04
42.5,1.373e+04,3.380e+02,2.382e+02,1.430e+04
44.0,1.561e+04,3.141e+02,1.670e+02,1.609e+04
45.5,1.789e+04,3.206e+02,1.357e+02,1.835e+04
47.0,2.125e+04,3.837e+02,1.316e+02,2.176e+04
48.5,2.466e+04,4.611e+02,1.363e+02,2.526e+04
50.1,2.858e+04,6.004e+02,1.746e+02,2.936e+04
51.6,3.453e+04,8.949e+02,2.248e+02,3.565e+04
53.1,3.833e+04,1.294e+03,3.171e+02,3.994e+04
54.6,3.470e+04,1.438e+03,6.085e+02,3.674e+04
56.1,3.117e+04,1.539e+03,1.548e+03,3.426e+04
57.6,3.374e+04,1.887e+03,3.664e+03,3.929e+04
59.2,3.982e+04,2.136e+03,7.125e+03,4.908e+04
60.7,4.651e+04,2.456e+03,8.087e+03,5.705e+04
62.2,5.032e+04,2.451e+03,4.933e+03,5.771e+04
63.7,6.000e+04,2.146e+03,2.473e+03,6.462e+04
65.2,7.797e+04,1.692e+03,1.509e+03,8.117e+04
66.8,1.007e+05,1.128e+03,1.324e+03,1.031e+05
68.3,1.294e+05,7.126e+02,1.068e+03,1.312e+05
69.8,1.714e+05,4.717e+02,1.664e+03,1.736e+05
71.3,2.209e+05,4.111e+02,5.168e+03,2.265e+05
72.8,2.459e+05,2.666e+02,4.699e+03,2.508e+05
74.3,3.051e+05,2.877e+02,1.606e+03,3.070e+05
75.9,4.278e+05,5.651e+02,2.377e+03,4.307e+05
77.4,5.296e+05,1.442e+03,3.958e+03,5.350e+05
78.9,6.324e+05,3.337e+03,4.680e+03,6.404e+05
80.4,7.350e+05,5.335e+03,4.111e+03,7.444e+05
81.9,7.791e+05,7.635e+03,3.378e+03,7.901e+05
83.4,6.729e+05,1.190e+04,4.840e+03,6.897e+05
85.0,4.701e+05,1.335e+04,5.880e+03,4.893e+05
86.5,3.118e+05,1.148e+04,5.412e+03,3.287e+05
88.0,1.967e+05,1.012e+04,5.210e+03,2.121e+05
89.5,1.196e+05,1.016e+04,5.407e+03,1.352e+05
91.0,8.070e+04,1.083e+04,5.674e+03,9.720e+04
92.5,6.081e+04,1.358e+04,6.453e+03,8.084e+04
94.1,4.875e+04,1.909e+04,7.972e+03,7.582e+04
95.6,4.159e+04,3.053e+04,1.061e+04,8.272e+04
97.1,3.720e+04,5.311e+04,1.483e+04,1.051e+05
98.6,3.470e+04,8.463e+04,1.950e+04,1.388e+05
100.1,3.334e+04,1.201e+05,2.465e+04,1.781e+05
101.6,3.283e+04,1.543e+05,2.818e+04,2.153e+05
103.2,3.502e+04,1.852e+05,2.924e+04,2.494e+05
104.7,4.036e+04,1.883e+05,2.510e+04,2.537e+05
106.2,4.470e+04,1.643e+05,1.727e+04,2.263e+05
107.7,4.531e+04,1.361e+05,1.093e+04,1.923e+05
109.2,4.361e+04,1.082e+05,6.759e+03,1.585e+05
