freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.667e+02,1.258e+01,1.897e+01,1.983e+02
1.5,1.031e+02,2.006e+01,3.470e+01,1.578e+02
3.0,2.054e+01,1.632e+01,3.115e+01,6.802e+01
4.5,2.523e+02,1.536e+01,2.803e+01,2.956e+02
6.0,1.034e+03,1.592e+01,3.064e+01,1.080e+03
7.5,1.757e+03,1.860e+01,3.115e+01,1.806e+03
9.0,2.545e+03,1.723e+01,2.895e+01,2.591e+03
10.5,3.449e+03,1.715e+01,2.937e+01,3.496e+03
12.0,4.457e+03,1.771e+01,3.143e+01,4.506e+03
13.5,5.641e+03,1.573e+01,3.125e+01,5.688e+03
15.1,7.035e+03,1.622e+01,3.164e+01,7.083e+03
16.6,8.728e+03,1.831e+01,2.998e+01,8.776e+03
18.1,1.072e+04,2.016e+01,3.161e+01,1.078e+04
19.6,1.347e+04,2.218e+01,3.590e+01,1.353e+04
21.1,1.697e+04,2.341e+01,3.650e+01,1.703e+04
22.6,1.993e+04,2.532e+01,3.926e+01,1.999e+04
24.1,2.013e+04,2.612e+01,6.135e+01,2.022e+04
25.6,1.836e+04,1.981e+01,9.349e+01,1.847e+04
27.1,1.793e+04,1.861e+01,1.060e+02,1.805e+04
28.6,1.988e+04,1.929e+01,1.027e+02,2.000e+04
30.1,2.311e+04,2.250e+01,1.538e+02,2.329e+04
31.6,2.739e+04,3.566e+01,2.328e+02,2.766e+04
33.1,3.232e+04,8.628e+01,3.372e+02,3.275e+04
34.6,3.661e+04,2.007e+02,4.016e+02,3.721e+04
36.1,4.172e+04,4.009e+02,5.444e+02,4.266e+04
37.6,4.749e+04,6.591e+02,7.785e+02,4.893e+04
39.1,5.502e+04,9.622e+02,1.241e+03,5.723e+04
40.6,6.388e+04,1.310e+03,2.165e+03,6.736e+04
42.2,7.594e+04,1.820e+03,4.002e+03,8.176e+04
43.7,9.030e+04,2.512e+03,7.262e+03,1.001e+05
45.2,1.040e+05,3.092e+03,1.237e+04,1.194e+05
46.7,1.217e+05,3.490e+03,1.826e+04,1.435e+05
48.2,1.431e+05,3.392e+03,2.210e+04,1.686e+05
49.7,1.709e+05,3.347e+03,2.172e+04,1.960e+05
51.2,2.177e+05,4.057e+03,2.019e+04,2.420e+05
52.7,2.610e+05,5.141e+03,2.003e+04,2.862e+05
54.2,2.494e+05,6.435e+03,1.760e+04,2.735e+05
55.7,2.244e+05,6.894e+03,1.093e+04,2.422e+05
57.2,2.082e+05,6.977e+03,6.892e+03,2.220e+05
58.7,1.908e+05,6.789e+03,5.412e+03,2.030e+05
60.2,1.730e+05,6.527e+03,5.161e+03,1.847e+05
61.7,1.610e+05,6.159e+03,5.963e+03,1.731e+05
63.2,1.574e+05,5.586e+03,7.659e+03,1.706e+05
64.7,1.545e+05,5.254e+03,9.145e+03,1.689e+05
66.2,1.482e+05,6.482e+03,1.111e+04,1.657e+05
67.7,1.387e+05,8.427e+03,1.304e+04,1.601e+05
69.3,1.270e+05,9.612e+03,1.323e+04,1.498e+05
70.8,1.171e+05,1.027e+04,1.078e+04,1.381e+05
72.3,1.133e+05,1.148e+04,1.009e+04,1.349e+05
